,precision,recall,f1-score,support
Chevrolet Silverado 1500 Regular Cab 2012,0.5081967213114754,0.7045454545454546,0.5904761904761905,44.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.631578947368421,0.631578947368421,0.631578947368421,38.0
Chevrolet Sonic Sedan 2012,0.5818181818181818,0.7272727272727273,0.6464646464646465,44.0
Chevrolet Tahoe Hybrid SUV 2012,0.5925925925925926,0.43243243243243246,0.5,37.0
Chevrolet TrailBlazer SS 2009,0.7659574468085106,0.9,0.8275862068965517,40.0
Chevrolet Traverse SUV 2012,0.7073170731707317,0.6590909090909091,0.6823529411764706,44.0
Chrysler 300 SRT-8 2010,0.43661971830985913,0.6458333333333334,0.5210084033613446,48.0
Chrysler Aspen SUV 2009,0.723404255319149,0.7906976744186046,0.7555555555555555,43.0
Chrysler Crossfire Convertible 2008,0.9117647058823529,0.7209302325581395,0.8051948051948052,43.0
Chrysler PT Cruiser Convertible 2008,0.8571428571428571,0.8,0.8275862068965517,45.0
Chrysler Sebring Convertible 2010,0.6829268292682927,0.7,0.691358024691358,40.0
Chrysler Town and Country Minivan 2012,0.6382978723404256,0.8108108108108109,0.7142857142857143,37.0
Daewoo Nubira Wagon 2002,0.7073170731707317,0.6444444444444445,0.6744186046511628,45.0
Dodge Caliber Wagon 2007,0.631578947368421,0.8571428571428571,0.7272727272727273,42.0
Dodge Caliber Wagon 2012,0.6341463414634146,0.65,0.6419753086419753,40.0
Dodge Caravan Minivan 1997,0.8809523809523809,0.8604651162790697,0.8705882352941177,43.0
Dodge Challenger SRT8 2011,0.7368421052631579,0.717948717948718,0.7272727272727273,39.0
Dodge Charger SRT-8 2009,0.7941176470588235,0.6428571428571429,0.7105263157894737,42.0
Dodge Charger Sedan 2012,0.5348837209302325,0.5609756097560976,0.5476190476190477,41.0
Dodge Dakota Club Cab 2007,0.7567567567567568,0.7368421052631579,0.7466666666666667,38.0
Dodge Dakota Crew Cab 2010,0.84375,0.6585365853658537,0.7397260273972602,41.0
Dodge Durango SUV 2007,0.8333333333333334,0.7777777777777778,0.8045977011494253,45.0
Dodge Durango SUV 2012,0.7555555555555555,0.7906976744186046,0.7727272727272727,43.0
Dodge Journey SUV 2012,0.8378378378378378,0.7045454545454546,0.7654320987654321,44.0
Dodge Magnum Wagon 2008,0.7692307692307693,0.75,0.759493670886076,40.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.7804878048780488,0.7619047619047619,0.7710843373493976,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.5769230769230769,0.6818181818181818,0.625,44.0
Dodge Sprinter Cargo Van 2009,0.7307692307692307,0.48717948717948717,0.5846153846153846,39.0
Eagle Talon Hatchback 1998,0.8787878787878788,0.6304347826086957,0.7341772151898734,46.0
FIAT 500 Abarth 2012,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
FIAT 500 Convertible 2012,0.7142857142857143,0.9090909090909091,0.8,33.0
Ferrari 458 Italia Convertible 2012,0.6470588235294118,0.5641025641025641,0.6027397260273972,39.0
Ferrari 458 Italia Coupe 2012,0.6666666666666666,0.5238095238095238,0.5866666666666667,42.0
Ferrari California Convertible 2012,0.7317073170731707,0.7692307692307693,0.75,39.0
Ferrari FF Coupe 2012,0.7560975609756098,0.7380952380952381,0.7469879518072289,42.0
Fisker Karma Sedan 2012,0.8055555555555556,0.6744186046511628,0.7341772151898734,43.0
Ford E-Series Wagon Van 2012,0.8,0.972972972972973,0.8780487804878049,37.0
Ford Edge SUV 2012,0.9117647058823529,0.7209302325581395,0.8051948051948052,43.0
Ford Expedition EL SUV 2009,0.8043478260869565,0.8409090909090909,0.8222222222222222,44.0
Ford F-150 Regular Cab 2007,0.9117647058823529,0.6888888888888889,0.7848101265822784,45.0
Ford F-150 Regular Cab 2012,0.9,0.8571428571428571,0.8780487804878049,42.0
Ford F-450 Super Duty Crew Cab 2012,0.9473684210526315,0.8780487804878049,0.9113924050632911,41.0
Ford Fiesta Sedan 2012,0.8125,0.6190476190476191,0.7027027027027027,42.0
Ford Focus Sedan 2007,0.6666666666666666,0.5777777777777777,0.6190476190476191,45.0
Ford Freestar Minivan 2007,0.8292682926829268,0.7727272727272727,0.8,44.0
Ford GT Coupe 2006,0.725,0.6444444444444445,0.6823529411764706,45.0
Ford Mustang Convertible 2007,0.7741935483870968,0.5454545454545454,0.64,44.0
Ford Ranger SuperCab 2011,0.7804878048780488,0.7619047619047619,0.7710843373493976,42.0
GMC Acadia SUV 2012,0.7924528301886793,0.9545454545454546,0.865979381443299,44.0
GMC Canyon Extended Cab 2012,0.696969696969697,0.575,0.6301369863013698,40.0
GMC Savana Van 2012,0.696969696969697,0.6764705882352942,0.6865671641791045,68.0
GMC Terrain SUV 2012,0.813953488372093,0.8536585365853658,0.8333333333333334,41.0
GMC Yukon Hybrid SUV 2012,0.7567567567567568,0.6666666666666666,0.7088607594936709,42.0
Geo Metro Convertible 1993,0.8857142857142857,0.7045454545454546,0.7848101265822784,44.0
HUMMER H2 SUT Crew Cab 2009,0.7619047619047619,0.7441860465116279,0.7529411764705882,43.0
HUMMER H3T Crew Cab 2010,0.7692307692307693,0.7692307692307693,0.7692307692307693,39.0
Honda Accord Coupe 2012,0.9259259259259259,0.6410256410256411,0.7575757575757576,39.0
Honda Accord Sedan 2012,0.7575757575757576,0.6578947368421053,0.704225352112676,38.0
Honda Odyssey Minivan 2007,0.8,0.7804878048780488,0.7901234567901234,41.0
Honda Odyssey Minivan 2012,0.5230769230769231,0.8095238095238095,0.6355140186915887,42.0
Hyundai Accent Sedan 2012,0.7894736842105263,0.625,0.6976744186046512,24.0
Hyundai Azera Sedan 2012,0.5490196078431373,0.6666666666666666,0.6021505376344086,42.0
Hyundai Elantra Sedan 2007,0.75,0.7857142857142857,0.7674418604651163,42.0
Hyundai Elantra Touring Hatchback 2012,0.7142857142857143,0.7142857142857143,0.7142857142857143,42.0
Hyundai Genesis Sedan 2012,0.603448275862069,0.813953488372093,0.693069306930693,43.0
Hyundai Santa Fe SUV 2012,0.8857142857142857,0.7380952380952381,0.8051948051948052,42.0
Hyundai Sonata Hybrid Sedan 2012,0.9032258064516129,0.8484848484848485,0.875,33.0
Hyundai Sonata Sedan 2012,0.7666666666666667,0.5897435897435898,0.6666666666666666,39.0
Hyundai Tucson SUV 2012,0.7391304347826086,0.7906976744186046,0.7640449438202247,43.0
Hyundai Veloster Hatchback 2012,0.71875,0.5609756097560976,0.6301369863013698,41.0
Hyundai Veracruz SUV 2012,0.4782608695652174,0.5238095238095238,0.5,42.0
Infiniti G Coupe IPL 2012,0.75,0.6176470588235294,0.6774193548387096,34.0
Infiniti QX56 SUV 2011,0.8709677419354839,0.84375,0.8571428571428571,32.0
Isuzu Ascender SUV 2008,0.8888888888888888,0.8,0.8421052631578947,40.0
Jaguar XK XKR 2012,0.5185185185185185,0.6086956521739131,0.56,46.0
Jeep Compass SUV 2012,0.8055555555555556,0.6904761904761905,0.7435897435897436,42.0
Jeep Grand Cherokee SUV 2012,0.7631578947368421,0.6444444444444445,0.6987951807228916,45.0
Jeep Liberty SUV 2012,0.7619047619047619,0.7272727272727273,0.7441860465116279,44.0
Jeep Patriot SUV 2012,0.6792452830188679,0.8181818181818182,0.7422680412371134,44.0
